USERNAME,GRADE,SYMBOL,2022-2023\registers\1100 10112022 - Practical - Group B.txt,2022-2023\registers\1100 13102022 - Practical - Group B.txt,2022-2023\registers\1100 17112022 - Practical - Group B.txt,2022-2023\registers\1100 20102022 - Practical - Group B.txt,2022-2023\registers\1100 2292022 - Practical - Group B.txt,2022-2023\registers\1100 24112022 - Practical - Group B.txt,2022-2023\registers\1100 27102022 - Practical - Group B.txt,2022-2023\registers\1100 2992022 - Practical - Group B.txt,2022-2023\registers\1100 3112022 - Practical - Group B.txt,2022-2023\registers\1100 6102022 - Practical - Group B.txt,2022-2023\registers\1130 8122022 - Practical - Group B.txt,2022-2023\registers\900 10102022 - Lecture.txt,2022-2023\registers\900 10112022 - Practical - Group A.txt,2022-2023\registers\900 13102022 - Practical - Group A.txt,2022-2023\registers\900 14112022 - Lecture.txt,2022-2023\registers\900 17112022 - Practical - Group A.txt,2022-2023\registers\900 20102022 - Practical - Group A.txt,2022-2023\registers\900 21112022 - Lecture.txt,2022-2023\registers\900 24102022 - Lecture.txt,2022-2023\registers\900 24112022 - Practical - Group A.txt,2022-2023\registers\900 2692022 - Lecture.txt,2022-2023\registers\900 27102022 - Practical - Group A.txt,2022-2023\registers\900 28112022 - Lecture.txt,2022-2023\registers\900 2992022 - Practical - Group A.txt,2022-2023\registers\900 3102022 - Lecture.txt,2022-2023\registers\900 31102022 - Lecture.txt,2022-2023\registers\900 3112022 - Practical - Group A.txt,2022-2023\registers\900 5122022 - Lecture.txt,2022-2023\registers\900 6102022 - Practical - Group A.txt,2022-2023\registers\900 7112022 - Lecture.txt,2022-2023\registers\930 8122022 - Practical - Group A.txt,2022-2023\registers\900 22092022 - Practical - Group A.txt,ATTENDANCE TOTAL,ATTENDANCE PERCENT
6aedf55a15b40385dfab767f7c3f4d49d2b11ee6911b6ff6bdd067ba197b0f29,0.5,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4,19
f0b80540f38f93825385b8d7935e2a6297ebcfdb55d7b6d28bc1fd88ad885f90,4,A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,6,29
cd2387516f198e036b36f9ed62e98b8e7bbf82782cb5c50a72902bd3bc8c1dea,2,C,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,15,71
6393031ca86c900d9be15eee3bebcc81c97353947f60d103a0832714fce403f0,0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cf7dfb3e06930a2f6b3ef9f9de9791856935d4360dd0908325be14c46c54ac4c,2,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,9,43
d40b0b736156d715decbb62ebcedb6588625834187f6656563a7b0d44f302e58,0.5,MF,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,24
bb463bf9a6e3bae8c4ec870030cc2593a1a9e7e95588929cb13a09fdbe7d0284,3,B,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,8,38
51e61531dd9a50fce14c3bcd7ef6e36739165fb7775fda10629095da08ecdd60,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,18,86
e2a71c0e6faa3db0e2e7ce113622e59d7a13b1a688bf7c4ee65d25611feafb5b,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,16,76
a1b524086d49bcf67decdb7ebcba516df41eac54b26c2bb330f52a338978109b,3,B,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,7,33
2ad900cc095153bb20ba7781b3d1cda742dc8729895e02ad0ecac1070e3e5397,3,B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,12,57
19cd81b59a6cd32a66ca1cf102bc4c35b4d762df4fc4e1ba1db3fd1ab7c5cbd1,3,B,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,14,67
b197e593382de925b2c13940784a7b59dee6c1f99e4d6c8784eaf1ddbdc81494,2,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa9397c2c68ffe32a2424194a6cdeffedf9e4d192bb36a3b70a490e8e90a67bf,2.5,C+,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,11,52
a3d84c56f299e544c17e4f64a440945c3eb5eb81a2d64a60c07cf87fce49def2,3.5,B+,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,17,81
9aef1b4070367b254fb75078e1a4553297207247f46cd75de4aea5e2b6039d55,3,B,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,8,38
d57f5a6a36a5ebbe535121f7daca840c0b51662aaab6d41a7f038a8ab0d4d0c4,0.5,MF,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24
698b8b1679285d6664e7dc14d1cea52f3972102daace99aada917923b1f4d119,0.5,MF,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,43
8aa153ce105204a3c9ab3218f48ffa3050eb8b7118c2e162b92c4c4730a46fdc,2.5,C+,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,15,71
b06f1d563c2fee65ebdad502b52a340c7ede612e0040217a5f1aa5c1d33f88d1,1.5,D+,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,10,48
e4c26e523bdbd0d97a3ff8911b7688df90dfa4b17b0c1a84d626652e2b3c5192,4.5,A+,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,19,90
66dd484d063d4cd142cab31bd780efec26dbfc32e51dada85ab511dc1f02e91e,0,NS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,6,29
dff99767ec52a93da51339fd930e5ae030a658c69d527e72e24f554bb91d5f14,0,NS,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
f627da224925836541066298b63bcb3ebd5a6dee01d00182cb1dbea5b9bf284e,2,C,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,29
