USERNAME,GRADE,SYMBOL,2021-2022\registers\1130 10112021 - Practical2.txt,2021-2022\registers\1130 1122021 - Practical2.txt,2021-2022\registers\1130 13102021 - Practical2.txt,2021-2022\registers\1130 17112021 - Practical2.txt,2021-2022\registers\1130 20102021 - Practical2.txt,2021-2022\registers\1130 2292021 - Practical2.txt,2021-2022\registers\1130 27102021 - Practical2.txt,2021-2022\registers\1130 2992021 - Practical2.txt,2021-2022\registers\1130 3112021 - Practical2.txt,2021-2022\registers\1130 6102021 - Practical2.txt,2021-2022\registers\1130 8122021 - Practical2.txt,2021-2022\registers\1200 24112021 - Practical2.txt,2021-2022\registers\1300 11102021 - Lecture.txt,2021-2022\registers\1300 1112021 - Lecture.txt,2021-2022\registers\1300 15112021 - Lecture.txt,2021-2022\registers\1300 22112021 - Lecture.txt,2021-2022\registers\1300 25102021 - Lecture.txt,2021-2022\registers\1300 2792021 - Lecture.txt,2021-2022\registers\1300 29112021 - Lecture.txt,2021-2022\registers\1300 6122021 - Lecture.txt,2021-2022\registers\1330 8112021 - Lecture.txt,2021-2022\registers\900 10112021 - Practical1.txt,2021-2022\registers\900 1122021 - Practical1.txt,2021-2022\registers\900 13102021 - Practical1.txt,2021-2022\registers\900 17112021 - Practical1.txt,2021-2022\registers\900 20102021 - Practical1.txt,2021-2022\registers\900 2292021 - Practical1.txt,2021-2022\registers\900 24112021 - Practical1.txt,2021-2022\registers\900 27102021 - Practical1.txt,2021-2022\registers\900 2992021 - Practical1.txt,2021-2022\registers\900 3112021 - Practical1.txt,2021-2022\registers\900 6102021 - Practical1.txt,2021-2022\registers\900 8122021 - Practical1.txt,ATTENDANCE PERCENT,ATTENDANCE EXPECTED PERCENT,PRACTICAL PERCENT,LECTURE PERCENT,ACTIVITY COUNT,NORMALISED ACTIVITY COUNT
381cd5669ba96994d2b9ed60de4b662f0cca1641bf9ce13a50fd9f2844bf0d9e,3.0,B,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,36.0,57.0,67.0,44.0,51,0.3695652173913043
bc5fdaccb41bcbe4d428c7b5783c8feb789d765b50b76cb919ccc088ead62dbd,3.5,B+,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,8.0,0.0,21,0.15217391304347827
0500eba35807b47c913b831243e918ded684e48856ebe4649b2abb1ab27c543c,3.5,B+,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,43.0,42.0,100.0,50,0.36231884057971014
383e6d79488f8d6a82f61dfdd7ec6757a5b5794217e59ae378ff785fa7fe50fa,3.0,B,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,27.0,43.0,33.0,56.0,33,0.2391304347826087
8bacf0cc512dcb771f774a2757eeca918ff302bdbebcf1632c877aed7c1483c5,3.0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,5.0,8.0,0.0,41,0.2971014492753623
69c3cddb089c5293200ea7a79be336e94ebcc267a55b88af63a1c1162241bdf6,2.5,C+,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,36.0,43.0,67.0,44.0,59,0.427536231884058
8a2c64432a90940eff496a8b773fe21eafb48139149a19c9e8e93a5b7f839752,4.5,A+,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61.0,43.0,92.0,100.0,12,0.08695652173913043
2de2c6e66177c253facc78ddbb5739241fd63538e7730a9c1a8922523972e25b,3.0,B,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36.0,24.0,58.0,56.0,46,0.3333333333333333
69c668e52cf42bf36fd26f2ac272604b5147b17a33cdc4765ef435d23faaf6d9,3.0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,18.0,29.0,42.0,11.0,28,0.2028985507246377
ee380ec4451592de70ca1b88f366837440d8167cfed407bd5cf7140525706cbc,0.0,NS,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,24.0,100.0,56.0,110,0.7971014492753623
4b834752e6aca794d7434f638b94e99543478524a2cc45314f5b91bd221da093,2.0,C,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.0,33.0,92.0,78.0,35,0.2536231884057971
58a502902d39894a468a492d7509f31ccd53d36d677d18fa76737907f4107c79,3.5,B+,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,45.0,24.0,92.0,44.0,34,0.2463768115942029
888b96ec7b295a27f898438387b90efdf5b435b50d25dac87a1cd6a75534c51f,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,0.34057971014492755
6681cf0d39b6c533779b14526c3b090e99efd2df1b59b16e86bf35e74cc0b6f3,1.5,D+,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,42.0,48.0,75.0,56.0,43,0.3115942028985507
78239808d0f7e38c6c63483616dc45ce22172070f87b02d2ca6ada498a7bdc91,3.0,B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,36.0,57.0,75.0,33.0,38,0.2753623188405797
387d66757dd8d6c1e07d7d1e3e95527e563ffc7151e115c387a028cd06f24e9f,4.0,A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,24.0,38.0,33.0,44.0,84,0.6086956521739131
ce5e9257a21723932f763dd5ba2774847dccf09eefd653389448d3c200a8d034,2.0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,15.0,24.0,33.0,11.0,13,0.09420289855072464
f4304e50e4acd1939055116af3793566349c0cf73de3e0c89c8a61d435c32bc8,4.0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,10.0,0.0,22.0,30,0.21739130434782608
3774bb1f4078d9051b61aa986311c78b668e409eefd941a0a6bdacbad05bccdb,3.0,B,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,25.0,0.0,47,0.34057971014492755
26f2fd41774c253df56bb58333deca8b0081e20cbb960d620c812a7375ce2eaf,2.5,C+,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,52.0,81.0,83.0,78.0,29,0.21014492753623187
e2a71c0e6faa3db0e2e7ce113622e59d7a13b1a688bf7c4ee65d25611feafb5b,0.0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,34,0.2463768115942029
5046c476ff79cfa11a7e5422a443bef13a568cc850f261c4ce772e68cfeaecaf,3.5,B+,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,55.0,86.0,75.0,100.0,,
